377,GAMAGIRA,361
378,GARUN GWANKI,361
379,GIMBA,361
380,KINKIBA,361
381,KWASSALLO,361
382,MAIGANA,361
383,RAHAMA,361
384,RICHIFA,361
385,SOBA,361
386,TURAWA,361
387,GIDAN JATAU,362
388,GORA,362
389,KAMANTAN,362
390,KAMURU IKULU NORTH,362
391,MADAKIYA,362
392,UNGUWAR GAIYA,362
393,UNGUWAR RIMI,362
394,ZAMAN DABO,362
395,ZANGO URBAN,362
396,ZONKWA,362
397,ZONZON,362
398,DAMBO,363
399,DUTSEN ABBA,363
400,GYALLESU,363
401,KAURA,363
402,KUFENA,363
403,KWARBAI A,363
404,KWARBAI B,363
405,LIMANCIN-KONA,363
406,TUDUN WADA,363
407,TUKUR TUKUR,363
408,UNG. FATIKA,363
409,UNG. JUMA,363
410,WUCICCIRI,363
411,AJINGI,364
412,BALARE,364
413,CHULA,364
414,DABIN KANAWA,364
415,DUNDUN,364
416,GAFASA,364
417,GURDUBA,364
418,KUNKURAWA,364
419,TORANKE,364
420,UNGAWAR BAI,364
421,ALBASU CENTRAL,365
422,BATAIYA,365
423,CHAMARANA,365
424,DAHO,365
425,FANDA,365
426,FARAGAI,365
427,GAGARAME,365
428,HUNGU,365
429,SAYA-SAYA,365
430,TSANGAYA,365
431,BAGWAI,366
432,DANGADA,366
433,GADANYA,366
434,GOGORI,366
435,KIYAWA,366
436,KWAJALI,366
437,RIMIN DAKO,366
438,ROMO,366
439,SARE-SARE,366
440,WURO BAGGA,366
441,ANADARIYA,367
442,BAGUDA,367
443,BEBEJI,367
444,DAMAU,367
445,DURMAWA,367
446,GARGAI,367
447,GWARMAI,367
448,KOFA,367
449,KUKI,367
450,RAHAMA,367
451,RANKA,367
452,RANTAN,367
453,TARIWA,367
454,WAK,367
455,BADUME,368
456,BICHI,368
457,DANZABUWA,368
458,FAGOLO,368
459,KAUKAU,368
460,KWAMARAWA,368
461,KYALLI,368
462,MUNTSIRA,368
463,SAYE,368
464,WAIRE,368
465,YALLAMI,368
466,BARKUM,369
467,BONO,369
468,BUNKURE,369
469,CHIRIN,369
470,GAFAN,369
471,GURJIYA,369
472,GWAMMA,369
473,KULLUWA,369
474,KUMURYA,369
475,SANDA,369
476,ADAKAWA,370
477,BAKIN RUWA,370
478,DALA,370
479,DOGON NAMA,370
480,GOBIRAWA,370
481,GWAMMAJA,370
482,KABUWAYA,370
483,KANTUDU,370
484,KOFAR MAZUGAL,370
485,KOFAR RUWA,370
486,MADIGAWA,370
487,YALWA,370
488,AJUMAWA,371
489,DANBATTA EAST,371
490,DANBATTA WEST,371
491,FAGWALAWA,371
492,GORON MAJE,371
493,GWANDA,371
494,GWARABJAWA,371
495,KORE,371
496,SAIDAWA,371
497,SANSAN,371
498,DABAR KWARI,372
499,DANBAGIWA,372
500,DAWAKI,372
501,DAWAKIJI,372
502,DOSAN,372
503,GANO,372
504,GURJIYA,372
505,JIDO,372
506,TAMBURAWA,372
507,TSAKUWA,372
508,UNGUWAR DUNIYA,372
509,YANBARAU,372
510,YANKATSARI,372
511,YARGAYA,372
512,ZOGARAWA,372
513,DAN GUGUWA,373
514,DAWAKI EAST,373
515,DAWAKI WEST,373
516,DAWANAU,373
517,GANDUJE,373
518,GARGARI,373
519,JALLI,373
520,KWA,373
521,MARKE,373
522,TATTARAWA,373
523,TUMFAFI,373
524,DARIYA,374
525,DOGON KAWO,374
526,DUGUWA,374
527,FALGORE,374
528,MARAKU,374
529,RAGADA,374
530,RIRIWAI,374
531,TAGWAYE,374
532,UNGUWAR NATSOHUWA,374
533,ZAINABI,374
534,FAGGE A,375
535,FAGGE B,375
536,FAGGE C,375
537,FAGGE D,375
538,FAGGE E,375
539,KWACHIRI,375
540,RIJIYAR LEMO,375
541,SABONGARI EAST,375
542,SABONGARI WEST,375
543,YAMMATA,375
544,GABASAWA,376
545,GARUN DANGA,376
546,JODA,376
547,KARMAKI,376
548,MEKIYA,376
549,TARAUNI,376
550,YANTAR AREWWA,376
551,YAUTAR KUDU,376
552,YUMBU,376
553,ZAKIRAI,376
554,ZUGACHI,376
555,DAL,377
556,GARIN ALI,377
557,GARKO,377
558,GURJIYA,377
559,KAFIN MALAMAI,377
560,KATUMARI,377
561,KWAS,377
562,RABA,377
563,SARINA,377
564,ZAKARAWA,377
565,CHIROMAWA,378
566,DORAWAR-SALLAU,378
567,FANKURUN,378
568,GARUN BABBA,378
569,GARUN MALAM,378
570,JOBAWA,378
571,KADAWA,378
572,MAKWARO,378
573,YAD AKWARI,378
574,YALWAN  YADAKWARI,378
575,BALAN,380
576,GAMARYA,380
577,GAMOJI,380
578,GAYA AREWA,380
579,GAYA KUDU,380
580,KADEMI,380
581,KAZURAWA,380
582,MAIMAKAWA,380
583,SHAGOGO,380
584,WUDILAWA,380
585,BABAWA,381
586,GAWO,381
587,GEZAWA,381
588,JOGANA,381
589,KETAWA,381
590,MESAR-TUDU,381
591,SARARIN-GEZAWA,381
592,TSAMIYA-BABBA,381
593,TUMBAU,381
594,WANGARA,381
595,ZANGO,381
596,DANDAGO,382
597,DISO,382
598,DORAYI,382
599,GALADANCHI,382
600,GORON DUTSE,382
601,GWALE,382
602,GYARANYA,382
603,KABUGA,382
604,MANDAWARI,382
605,SANI MAI MAGGE,382
606,GETSO,383
607,GWARZO,383
608,JAMA A,383
609,KARA,383
610,KUTAMA,383
611,LAKWAYA,383
612,MADADI,383
613,MAINIKA,383
614,SABON BIRNI,383
615,UNGUWAR TUDU,383
616,DUGABAU,384
617,DURUN,384
618,GAMMO,384
619,GARO,384
620,GODIYA,384
621,GUDE,384
622,HAUWADE,384
623,KABO,384
624,KANWA,384
625,MASANAWA,384
626,CHEDI,385
627,DANAGUNDI,385
628,GANDUN ALBASA,385
629,JAKARA,385
630,KANKAROFI,385
631,SHAHUCHI,385
632,SHARADA,385
633,SHESHE,385
634,TUDUN NUFAWA,385
635,TUDUN WAZIRCHI,385
636,YAKASAI,385
637,ZAITAWA,385
638,ZANGO,385
639,DAURA,386
640,KAFIN DAFGA,386
641,KARAYE,386
642,KURUGU,386
643,KWANYAWA,386
644,TUDUN KAYA,386
645,TURAWA,386
646,UNGUWAR HAJJI,386
647,YAMMEDI,386
648,YOLA,386
649,DURBA,387
650,FAMMAR,387
651,FASSI,387
652,KADIGAWA,387
653,KAHU,387
654,KIBIYA  I,387
655,KIBIYA II,387
656,NARIYA,387
657,TARAI,387
658,UNGUWAR GAI,387
659,BAAWA,388
660,BADAFI,388
661,BARGONI,388
662,BAUDA,388
663,DANGORA,388
664,DANSOHIYA,388
665,DASHI,388
666,GALADIMAWA,388
667,KIRU,388
668,KOGO,388
669,MARAKU,388
670,TSAUDAWA,388
671,YAKO,388
672,YALWA,388
673,ZUWO,388
674,CHALLAWA,389
